container_source_id,container_relative_path,entry_path,archive_depth,uncompressed_bytes,compressed_bytes,crc32,sha256,outer_exact_match_paths,inspection_status
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/RESEARCH_BUNDLE_INDEX.md,1,2535,1124,B543E9A8,3F6A4FBC0ADCA3C14A1F2D789840332024638A2F5E35BCD65E890215C4C21133,06-cross-system/fitness-ecosystem-research/RESEARCH_BUNDLE_INDEX.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/WORKTREE.md,1,2140,935,83DE8ABF,CE314D358349C19EC01B4E80D7B9E1D746DE4F3D8057B423586313E2375C76FF,06-cross-system/fitness-ecosystem-research/WORKTREE.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/contracts/README.md,1,1024,600,375F101D,7CF4E061D4ADF1E464D312B553D711F63BBE20E74D277D03951911EABFEC7547,06-cross-system/fitness-ecosystem-research/contracts/README.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/contracts/event-envelope.schema.json,1,2380,633,78A10989,A2ED705C47613008CFFEE6CA42FAFA4E2A1568D4AD99EB452B903C154B7535C0,06-cross-system/fitness-ecosystem-research/contracts/event-envelope.schema.json,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/contracts/session-proposal.schema.json,1,2076,612,862E349B,26FC94F704307694E6807E46C055564A6BD21C45703E8AB6FF5DE02842AB292E,06-cross-system/fitness-ecosystem-research/contracts/session-proposal.schema.json,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/contracts/shared-core-contract.json,1,1791,771,F096DB89,9E6E3E10F08536DC61BEE713C36A0CB6DED775772FA2A3DAC9D9DA88FC2203AD,06-cross-system/fitness-ecosystem-research/contracts/shared-core-contract.json,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/contracts/state-snapshot.schema.json,1,2801,819,125E5180,5DD57E869F379C1CEC28E114DEDDB353F553FE721B599DEC8EC3751CAB139CC2,06-cross-system/fitness-ecosystem-research/contracts/state-snapshot.schema.json,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/contracts/weekly-plan.schema.json,1,2561,720,DB72F6A9,BF71FFDCF1396CD4C21192059997B4E6DF82AA68565F0BD78D365FF41237F7A2,06-cross-system/fitness-ecosystem-research/contracts/weekly-plan.schema.json,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/docs/00_EXECUTIVE_REVIEW.md,1,9989,4336,4AC9CE85,48821592D394135D24675AFDD4A2EE2B0E9594F0E59C9F2AE9D2B23C003EB34A,06-cross-system/fitness-ecosystem-research/docs/00_EXECUTIVE_REVIEW.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/docs/01_ARCHITECTURE_DECISIONS.md,1,6140,2692,3FBB53D9,2E0040B74308D7AAED091FBE8038C7DFF0F329AF1A5B97925DDB23098BDF6F97,06-cross-system/fitness-ecosystem-research/docs/01_ARCHITECTURE_DECISIONS.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/docs/02_SYNC_AND_DATA_CONTRACT.md,1,5800,2636,5DAED708,3A1F42BA50A03B708A19D72F0EDEEC54A883BCDCB6F60FBE6F765A8DA379E5A3,06-cross-system/fitness-ecosystem-research/docs/02_SYNC_AND_DATA_CONTRACT.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/docs/03_WHOLE_ATHLETE_STATE.md,1,6138,2754,88C37627,0BBE824544C8DADAE671136F5F9438A11C38AF9E1AC3D3A414CA323219965CDF,06-cross-system/fitness-ecosystem-research/docs/03_WHOLE_ATHLETE_STATE.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/docs/04_COORDINATOR_SPEC.md,1,5005,2310,79AAA2FF,F6398CE6ABC2B38063DD4D67E9FF7B24A6B5CC77739173ACED1BB319A8FC6A12,06-cross-system/fitness-ecosystem-research/docs/04_COORDINATOR_SPEC.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/docs/05_APP_SPLIT_MIGRATION.md,1,4446,2087,1ED16A6E,B043DD47DE3453A38C955CD61CB9CA825F7250CF6E0978585736B343BA07663A,06-cross-system/fitness-ecosystem-research/docs/05_APP_SPLIT_MIGRATION.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/docs/06_SECURITY_PRIVACY_REGULATORY.md,1,5095,2383,17B680EA,28323953256939C5C87BD9880AA3F55361A747978680994E3B2C6CF72A303A30,06-cross-system/fitness-ecosystem-research/docs/06_SECURITY_PRIVACY_REGULATORY.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/docs/07_TEST_AND_RELEASE_GATES.md,1,3686,1742,CFD4337A,B6868E67E11EA2245593F5EB93B3C11C056EB9B54AABEFF340336EB0C53A1014,06-cross-system/fitness-ecosystem-research/docs/07_TEST_AND_RELEASE_GATES.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/docs/08_PLUGIN_AND_CLAUDE_CODE_SETUP.md,1,5946,2553,80850622,570DB14BAA1236B798C520D0E5CBC77D438E20C5A80DDEB1CF39470D3617499C,06-cross-system/fitness-ecosystem-research/docs/08_PLUGIN_AND_CLAUDE_CODE_SETUP.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/docs/09_BUILD_ROADMAP.md,1,3730,1564,2BCA27E2,E3931F7198EA3267CE75E4D5979A17BCB4DCC5488B93A89A691EC187B6BDACB5,06-cross-system/fitness-ecosystem-research/docs/09_BUILD_ROADMAP.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/docs/10_OPEN_DECISIONS.md,1,2508,1224,01D4F2C7,6DF53ACDEEA89307DD5DF33946050FBCDBE0F8E1F3E040C1C14F62A9920CD64A,06-cross-system/fitness-ecosystem-research/docs/10_OPEN_DECISIONS.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/docs/CLAIM_REGISTER.md,1,4111,1925,8D512F01,A630055116A78FCD16D5120018D7E80E0BCAB9E6B52D59FF6B4EB3B5365A6E1B,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/docs/RESEARCH_METHOD.md,1,2321,1215,7FD29AA4,11CF3A8B484AD661B6B44CD23F2B7D20ECB3B9FF002015D8C126A9F25CBC9B51,06-cross-system/fitness-ecosystem-research/docs/RESEARCH_METHOD.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/docs/SOURCES.md,1,10181,3527,3DC644EF,A7273B3919B2B0BBEAC984298E068A74CD51B73C651161A1050E967A5CAD5C5B,06-cross-system/fitness-ecosystem-research/docs/SOURCES.md,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/fixtures/event-session-completed.json,1,1042,387,7D826737,1BEF5322251D2C108484E7BEF350FF10BF10AD4641F9BC28EF20EB31E8E8FFB0,06-cross-system/fitness-ecosystem-research/fixtures/event-session-completed.json,content_hashed_not_executed
SRC-8D9703BB80BC4F51,09-original-archives/fitness-ecosystem-research-claude-code.zip,fitness-ecosystem-research/fixtures/session-proposal-conditioning.json,1,940,457,2D84DAF9,186EB076EFA49C31D2790AB994812CBD7A196D0C0703B433299199E0118235BB,06-cross-system/fitness-ecosystem-research/fixtures/session-proposal-conditioning.json,content_hashed_not_executed
